Model,Type,RMSE,MAE,MAPE,R2
Reg: Linear,Regression,1.4288241647575497e-14,1.3531351036375933e-14,3.27278628481018e-14,1.0
Reg: Ridge,Regression,0.010413975109530208,0.008021511689474034,0.019159273163385344,0.999980173561708
Reg: Lasso,Regression,0.19082964319739812,0.1414309956756421,0.33824851351666363,0.9933426205891281
ES: HW-7,Exponential Smoothing,1.3249074126663907,1.21445092210094,2.5164206019852084,-2.321112904812286
ES: Holt,Exponential Smoothing,1.328746965156111,1.2183902410209644,2.524584447080296,-2.340389820481682
ES: SES,Exponential Smoothing,2.3527361175146333,2.237591474058182,4.631940427050239,-9.472708594284635
ES: Damped,Exponential Smoothing,2.3527362153747484,2.2375915771945296,4.631940641637353,-9.472709465491976
